,FECHA_ENT
1027,2019-11-28
1028,2019-12-05
1029,2019-11-29
1030,2019-11-29
1031,2019-11-26
1032,2019-11-12
1033,2019-11-29
1034,2019-11-29
1035,2019-11-29
1036,2019-11-29
1037,2019-11-29
1038,2019-11-29
1039,2019-11-29
1040,2019-11-29
1041,2019-11-29
1042,2019-11-29
1043,2019-11-29
1044,2019-11-29
1045,2019-11-29
1046,2019-11-29
1047,2019-12-03
1048,2019-12-02
1049,2019-12-03
1050,2019-11-25
1051,2019-11-29
1052,2019-11-29
1053,2019-11-25
1054,2019-11-25
1055,2019-12-03
1056,2019-12-02
1057,2019-12-02
1058,2019-12-02
1059,2019-12-03
1060,2019-12-02
1061,2019-11-21
1062,2019-12-03
1063,2019-12-03
1064,2019-12-03
1065,2019-12-04
1066,2019-12-02
1067,2019-12-02
1068,2019-12-04
1069,2019-12-06
1070,2019-11-29
1071,2019-11-07
1072,2019-12-05
1073,2019-12-04
1074,2019-11-29
1075,2019-12-02
1076,2019-11-29
1077,2019-12-06
1078,2019-12-04
1079,2019-11-28
1080,2019-12-04
1081,2019-12-04
1082,2019-12-05
1083,2019-11-25
1084,2019-12-05
1085,2019-11-28
1086,2019-12-05
1087,2019-12-05
1088,2019-12-05
1089,2019-12-05
1090,2019-12-05
1091,2019-12-05
1092,2019-12-05
1093,2019-12-05
1094,2019-12-05
1095,2019-11-27
1096,2019-12-06
1097,2019-12-06
1098,2019-12-02
1099,2019-12-06
1100,2019-12-06
1101,2019-11-25
1102,2019-12-05
1103,2019-11-27
1104,2019-12-06
1105,2019-12-09
1106,2019-11-08
1107,2019-12-02
1108,2019-12-09
1109,2019-12-04
1110,2019-12-06
1111,2019-12-04
1112,2019-11-27
1113,2019-12-09
1114,2019-12-09
1115,2019-11-29
1116,2019-12-03
1117,2019-11-28
1118,2019-11-28
1119,2019-12-09
1120,2019-12-06
1121,2019-12-06
1122,2019-12-11
1123,2019-12-10
1124,2019-12-10
1125,2019-12-09
1126,2019-12-09
1127,2019-12-10
1128,2019-12-11
1129,2019-12-10
1130,2019-12-10
1131,2019-11-29
1132,2019-12-10
1133,2019-12-10
1134,2019-12-06
1135,2019-12-13
1136,2019-12-16
1137,2019-12-09
1138,2019-12-10
1139,2019-12-11
1140,2019-12-11
1141,2019-12-11
1142,2019-12-11
1143,2019-12-11
1144,2019-12-11
1145,2019-12-13
1146,2019-12-13
1147,2019-12-05
1148,2019-12-04
1149,2019-12-13
1150,2019-12-13
1151,2019-11-29
1152,2019-12-13
1153,2019-12-11
1154,2019-12-11
1155,2019-12-11
1156,2019-12-03
1157,2019-12-17
1158,2019-11-29
1159,2019-12-13
1160,2019-12-16
1161,2019-12-16
1162,2019-12-16
1163,2019-12-16
1164,2019-12-16
1165,2019-12-09
1166,2019-12-11
1167,2019-12-16
1168,2019-12-16
1169,2019-12-16
1170,2019-12-16
1171,2019-12-11
1172,2019-12-11
1173,2019-12-04
1174,2019-12-16
1175,2019-12-16
1176,2019-12-16
1177,2019-12-16
1178,2019-12-17
1179,2019-10-07
1180,2019-12-11
1181,2019-12-17
1182,2019-11-13
1183,2019-12-17
1184,2019-12-17
1185,2019-12-09
1186,2019-12-09
1187,2019-12-04
1188,2019-12-17
1189,2019-11-29
1190,2019-12-04
1191,2019-12-17
1192,2019-12-17
1193,2019-12-17
1194,2019-12-06
1195,2019-12-16
1196,2019-12-02
1197,2019-12-02
1198,2019-12-16
1199,2019-11-27
1200,2019-12-12
1201,2019-12-11
1202,2019-12-13
1203,2019-12-18
1204,2019-12-02
1205,2019-12-11
1206,2019-12-02
1207,2019-12-09
1208,2019-12-18
1209,2019-12-18
1210,2019-12-18
1211,2019-12-18
1212,2019-12-18
1213,2019-12-02
1214,2019-12-18
1215,2019-12-18
1216,2019-12-18
1217,2019-12-19
1218,2019-12-11
1219,2019-12-19
1220,2019-12-19
1221,2019-12-05
1222,2019-12-19
1223,2019-12-19
1224,2019-12-19
1225,2019-12-11
1226,2019-12-19
1227,2019-12-19
1228,2019-12-09
1229,2019-12-19
1230,2019-12-19
1231,2019-12-19
1232,2019-12-19
1233,2019-12-20
1234,2019-12-20
1235,2019-12-20
1236,2019-12-09
1237,2019-12-19
1238,2019-12-20
1239,2019-12-20
1240,2019-12-20
1241,2019-12-20
1242,2019-12-11
1243,2019-12-04
1244,2019-12-20
1245,2019-12-20
1246,2019-12-20
1247,2019-12-20
1248,2019-12-20
1249,2019-12-20
1250,2019-11-27
1251,2019-12-20
1252,2019-12-11
1253,2019-12-11
1254,2019-12-20
1255,2019-12-23
1256,2019-12-23
1257,2019-12-23
1258,2019-12-23
1259,2019-12-20
1260,2019-12-23
1261,2019-12-23
1262,2019-12-23
1263,2019-12-23
1264,2019-12-23
1265,2019-12-11
1266,2019-12-24
1267,2019-12-24
1268,2020-01-03
1269,2020-01-03
1270,2020-01-02
1271,2020-01-02
1272,2020-01-02
1273,2019-12-11
1274,2020-01-02
1275,2020-01-02
1276,2020-01-03
1277,2020-01-03
1278,2020-01-03
1279,2020-01-03
1280,2020-01-03
1281,2020-01-03
1282,2020-01-03
1283,2020-01-06
1284,2020-01-13
1285,2019-12-11
1286,2019-12-13
1287,2019-12-19
1288,2020-01-06
1289,2020-01-06
1290,2020-01-06
1291,2020-01-06
1292,2020-01-06
1293,2020-01-06
1294,2020-01-02
1295,2020-01-10
1296,2020-01-03
1297,2019-12-06
1298,2020-01-07
1299,2020-01-07
1300,2020-01-07
1301,2020-01-07
1302,2020-01-07
1303,2020-01-07
1304,2020-01-07
1305,2020-01-07
1306,2020-01-07
1307,2020-01-07
1308,2020-01-07
1309,2020-01-07
1310,2020-01-02
1311,2020-01-13
1312,2019-12-16
1313,2020-01-08
1314,2020-01-02
1315,2019-12-18
1316,2020-01-08
1317,2020-01-08
1318,2019-12-18
1319,2020-01-08
1320,2020-01-08
1321,2019-12-09
1322,2020-01-08
1323,2020-01-08
1324,2020-01-08
1325,2020-01-08
1326,2020-01-08
1327,2020-01-09
1328,2020-01-09
1329,2020-01-09
1330,2020-01-09
1331,2020-01-08
1332,2020-01-09
1333,2020-01-09
1334,2020-01-09
1335,2020-01-09
1336,2020-01-09
1337,2020-01-09
1338,2020-01-09
1339,2020-01-09
1340,2020-01-09
1341,2020-01-10
1342,2020-01-10
1343,2020-01-10
1344,2020-01-10
1345,2020-01-10
1346,2019-12-09
1347,2020-01-10
1348,2020-01-06
1349,2020-01-10
1350,2020-01-07
1351,2020-01-10
1352,2020-01-07
1353,2019-11-27
1354,2020-01-13
1355,2020-01-13
1356,2020-01-13
1357,2019-12-12
1358,2020-01-13
1359,2020-01-13
1360,2020-01-13
1361,2020-01-13
1362,2020-01-13
1363,2020-01-13
1364,2020-01-13
1365,2020-01-14
1366,2020-01-16
1367,2020-01-14
1368,2020-01-06
1369,2020-01-10
1370,2020-01-08
1371,2020-01-14
1372,2020-01-14
1373,2020-01-14
1374,2020-01-14
1375,2019-11-29
1376,2020-01-14
1377,2020-01-14
1378,2020-01-14
1379,2020-01-14
1380,2020-01-13
1381,2020-01-15
1382,2020-01-15
1383,2019-12-02
1384,2020-01-15
1385,2020-01-15
1386,2020-01-15
1387,2020-01-15
1388,2020-01-15
1389,2020-01-15
1390,2020-01-15
1391,2020-01-15
1392,2020-01-14
1393,2020-01-14
1394,2020-01-09
1395,2020-01-16
1396,2020-01-15
1397,2020-01-08
1398,2020-01-06
1399,2020-01-16
1400,2020-01-16
1401,2019-12-23
1402,2020-01-16
1403,2020-01-16
1404,2020-01-16
1405,2020-01-14
1406,2020-01-17
1407,2020-01-16
1408,2020-01-16
1409,2020-01-17
1410,2020-01-17
1411,2020-01-17
1412,2020-01-17
1413,2020-01-17
1414,2020-01-17
1415,2020-01-16
1416,2020-01-14
1417,2020-01-17
1418,2020-01-17
1419,2020-01-20
1420,2020-01-20
1421,2020-01-20
1422,2020-01-20
1423,2020-01-20
1424,2020-01-20
1425,2020-01-10
1426,2020-01-13
1427,2020-01-20
1428,2020-01-20
1429,2020-01-14
1430,2020-01-20
1431,2020-01-23
1432,2020-01-20
1433,2020-01-21
1434,2020-01-21
1435,2020-01-15
1436,2020-01-21
1437,2020-01-21
1438,2020-01-21
1439,2020-01-21
1440,2020-01-21
1441,2020-01-21
1442,2020-01-21
1443,2020-01-21
1444,2020-01-21
1445,2020-01-21
1446,2020-01-22
1447,2020-01-09
1448,2020-01-23
1449,2020-01-22
1450,2020-01-21
1451,2020-01-22
1452,2020-01-14
1453,2020-01-22
1454,2020-01-22
1455,2020-01-22
1456,2020-01-22
1457,2020-01-22
1458,2020-01-22
1459,2020-01-22
1460,2020-01-22
1461,2020-01-16
1462,2020-01-16
1463,2020-01-22
1464,2019-12-23
1465,2020-01-13
1466,2020-01-22
1467,2020-01-24
1468,2020-01-27
1469,2020-01-13
1470,2020-01-23
1471,2020-01-23
1472,2020-01-17
1473,2020-01-23
1474,2020-01-24
1475,2020-01-24
1476,2020-01-22
1477,2020-01-10
1478,2020-01-14
1479,2020-01-20
1480,2020-01-24
1481,2020-01-24
1482,2020-01-24
1483,2020-01-24
1484,2020-01-24
1485,2020-01-24
1486,2020-01-24
1487,2020-01-24
1488,2020-01-24
1489,2020-01-24
1490,2020-01-24
1491,2020-01-24
1492,2020-01-20
1493,2020-01-24
1494,2020-01-17
1495,2020-01-21
1496,2020-01-09
